,,128,145,486,1794088,1848461,1877668,1502081,1456947,1470867,1320540,1363352,1306530,,,,,,,,,,,,,,,
,,112,132,985,1971326,2050110,2059845,1493834,1500028,1564633,1217121,1210313,1257202,,,,,,,,,,,,,,,
,,90,148,1438,3905567,3819054,3782934,1866616,1865731,1860254,1457572,1458676,1517593,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,72,696,4156,4970,4758,798,183,443,2084,2713,2628,,,,,,,,,,,,,,,
,,74,71,118,172,172,174,168,132,124,145,153,158,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Copy Of LUMINISCENCE 0 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.3,PlateFormat,Endpoint,Luminescence,Raw,FALSE,1,,,,,,,,,,,,,,,,,,,,
,27.5,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,
,,128,145,486,1794088,1848461,1877668,1502081,1456947,1470867,1320540,1363352,1306530,,,,,,,,,,,,,,,
,,112,132,985,1971326,2050110,2059845,1493834,1500028,1564633,1217121,1210313,1257202,,,,,,,,,,,,,,,
,,90,148,1438,3905567,3819054,3782934,1866616,1865731,1860254,1457572,1458676,1517593,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,143,1155,7866,8699,7747,1498,286,636,3423,3779,3725,,,,,,,,,,,,,,,
,,107,134,172,258,301,303,232,198,203,213,219,243,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,LUMINISCENCE 2 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.3,PlateFormat,Endpoint,Luminescence,Raw,FALSE,1,,,,,,,,,,,,,,,,,,,,
,28,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,
,,1249,1640,2115,295339,282024,277823,4507934,4456399,4665568,2835619,2843892,2917296,,,,,,,,,,,,,,,
,,2830,3543,4303,237994,217468,205822,4563400,4734324,4753520,2800987,2882093,2926252,,,,,,,,,,,,,,,
